experiment,subject,rating_type,label_shown,index,condition,condition_expl,src,first_label,second_label,first_res,second_res,rating,rating_str
1,1,7,yes,1,6,"HD -> HD
L: UHD -> HD",SRC01,UHD,HD,HD,HD,1,slightly better
1,1,7,yes,2,8,HD -> HD,SRC02,HD,HD,HD,HD,1,slightly better
1,1,7,yes,3,6,"HD -> HD
L: UHD -> HD",SRC05,UHD,HD,HD,HD,1,slightly better
1,1,7,yes,4,3,"UHD -> UHD
L: HD -> UHD",SRC06,HD,UHD,UHD,UHD,-2,worse
1,1,7,yes,5,7,UHD -> UHD,SRC08,UHD,UHD,UHD,UHD,2,better
1,1,7,yes,6,1,HD -> UHD,SRC04,HD,UHD,HD,UHD,2,better
1,1,7,yes,7,2,UHD -> HD,SRC03,UHD,HD,UHD,HD,-1,slightly worse
1,1,7,yes,8,2,UHD -> HD,SRC07,UHD,HD,UHD,HD,3,much better
1,1,7,yes,9,8,HD -> HD,SRC04,HD,HD,HD,HD,1,slightly better
1,1,7,yes,10,3,"UHD -> UHD
L: HD -> UHD",SRC03,HD,UHD,UHD,UHD,-1,slightly worse
1,1,7,yes,11,5,"UHD -> UHD
L: UHD -> HD",SRC08,UHD,HD,UHD,UHD,3,much better
1,1,7,yes,12,4,"HD -> HD
L: HD -> UHD",SRC06,HD,UHD,HD,HD,0,same
1,1,7,yes,13,5,"UHD -> UHD
L: UHD -> HD",SRC05,UHD,HD,UHD,UHD,-1,slightly worse
1,1,7,yes,14,7,UHD -> UHD,SRC02,UHD,UHD,UHD,UHD,2,better
1,1,7,yes,15,1,HD -> UHD,SRC07,HD,UHD,HD,UHD,1,slightly better
1,1,7,yes,16,8,HD -> HD,SRC01,HD,HD,HD,HD,1,slightly better
1,1,7,yes,17,8,HD -> HD,SRC03,HD,HD,HD,HD,-1,slightly worse
1,1,7,yes,18,5,"UHD -> UHD
L: UHD -> HD",SRC07,UHD,HD,UHD,UHD,0,same
1,1,7,yes,19,7,UHD -> UHD,SRC06,UHD,UHD,UHD,UHD,2,better
1,1,7,yes,20,1,HD -> UHD,SRC02,HD,UHD,HD,UHD,3,much better
1,1,7,yes,21,8,HD -> HD,SRC05,HD,HD,HD,HD,-1,slightly worse
1,1,7,yes,22,6,"HD -> HD
L: UHD -> HD",SRC04,UHD,HD,HD,HD,0,same
1,1,7,yes,23,3,"UHD -> UHD
L: HD -> UHD",SRC01,HD,UHD,UHD,UHD,1,slightly better
1,1,7,yes,24,1,HD -> UHD,SRC08,HD,UHD,HD,UHD,0,same
1,1,7,yes,25,2,UHD -> HD,SRC01,UHD,HD,UHD,HD,1,slightly better
1,1,7,yes,26,3,"UHD -> UHD
L: HD -> UHD",SRC02,HD,UHD,UHD,UHD,0,same
1,1,7,yes,27,8,HD -> HD,SRC06,HD,HD,HD,HD,0,same
1,1,7,yes,28,2,UHD -> HD,SRC05,UHD,HD,UHD,HD,1,slightly better
1,1,7,yes,29,7,UHD -> UHD,SRC04,UHD,UHD,UHD,UHD,-1,slightly worse
1,1,7,yes,30,4,"HD -> HD
L: HD -> UHD",SRC08,HD,UHD,HD,HD,3,much better
1,1,7,yes,31,4,"HD -> HD
L: HD -> UHD",SRC07,HD,UHD,HD,HD,1,slightly better
1,1,7,yes,32,5,"UHD -> UHD
L: UHD -> HD",SRC03,UHD,HD,UHD,UHD,2,better
1,1,7,yes,33,6,"HD -> HD
L: UHD -> HD",SRC03,UHD,HD,HD,HD,1,slightly better
1,1,7,yes,34,6,"HD -> HD
L: UHD -> HD",SRC06,UHD,HD,HD,HD,0,same
1,1,7,yes,35,4,"HD -> HD
L: HD -> UHD",SRC05,HD,UHD,HD,HD,-1,slightly worse
1,1,7,yes,36,2,UHD -> HD,SRC02,UHD,HD,UHD,HD,1,slightly better
1,1,7,yes,37,8,HD -> HD,SRC08,HD,HD,HD,HD,3,much better
1,1,7,yes,38,5,"UHD -> UHD
L: UHD -> HD",SRC04,UHD,HD,UHD,UHD,1,slightly better
1,1,7,yes,39,6,"HD -> HD
L: UHD -> HD",SRC07,UHD,HD,HD,HD,0,same
1,1,7,yes,40,1,HD -> UHD,SRC01,HD,UHD,HD,UHD,1,slightly better
1,1,7,yes,41,4,"HD -> HD
L: HD -> UHD",SRC03,HD,UHD,HD,HD,1,slightly better
1,1,7,yes,42,1,HD -> UHD,SRC06,HD,UHD,HD,UHD,1,slightly better
1,1,7,yes,43,3,"UHD -> UHD
L: HD -> UHD",SRC07,HD,UHD,UHD,UHD,2,better
1,1,7,yes,44,3,"UHD -> UHD
L: HD -> UHD",SRC08,HD,UHD,UHD,UHD,0,same
1,1,7,yes,45,5,"UHD -> UHD
L: UHD -> HD",SRC01,UHD,HD,UHD,UHD,0,same
1,1,7,yes,46,2,UHD -> HD,SRC04,UHD,HD,UHD,HD,0,same
1,1,7,yes,47,6,"HD -> HD
L: UHD -> HD",SRC02,UHD,HD,HD,HD,2,better
1,1,7,yes,48,7,UHD -> UHD,SRC05,UHD,UHD,UHD,UHD,-1,slightly worse
1,1,7,yes,49,7,UHD -> UHD,SRC03,UHD,UHD,UHD,UHD,-2,worse
1,1,7,yes,50,1,HD -> UHD,SRC05,HD,UHD,HD,UHD,-3,much worse
1,1,7,yes,51,7,UHD -> UHD,SRC01,UHD,UHD,UHD,UHD,2,better
1,1,7,yes,52,8,HD -> HD,SRC07,HD,HD,HD,HD,1,slightly better
1,1,7,yes,53,4,"HD -> HD
L: HD -> UHD",SRC04,HD,UHD,HD,HD,0,same
1,1,7,yes,54,2,UHD -> HD,SRC06,UHD,HD,UHD,HD,0,same
1,1,7,yes,55,4,"HD -> HD
L: HD -> UHD",SRC02,HD,UHD,HD,HD,1,slightly better
1,1,7,yes,56,6,"HD -> HD
L: UHD -> HD",SRC08,UHD,HD,HD,HD,-1,slightly worse
1,1,7,yes,57,5,"UHD -> UHD
L: UHD -> HD",SRC06,UHD,HD,UHD,UHD,1,slightly better
1,1,7,yes,58,3,"UHD -> UHD
L: HD -> UHD",SRC04,HD,UHD,UHD,UHD,2,better
1,1,7,yes,59,7,UHD -> UHD,SRC07,UHD,UHD,UHD,UHD,1,slightly better
1,1,7,yes,60,3,"UHD -> UHD
L: HD -> UHD",SRC05,HD,UHD,UHD,UHD,-1,slightly worse
1,1,7,yes,61,4,"HD -> HD
L: HD -> UHD",SRC01,HD,UHD,HD,HD,-1,slightly worse
1,1,7,yes,62,2,UHD -> HD,SRC08,UHD,HD,UHD,HD,2,better
1,1,7,yes,63,5,"UHD -> UHD
L: UHD -> HD",SRC02,UHD,HD,UHD,UHD,1,slightly better
1,1,7,yes,64,1,HD -> UHD,SRC03,HD,UHD,HD,UHD,0,same
1,10,3,yes,1,4,"HD -> HD
L: HD -> UHD",SRC01,HD,UHD,HD,HD,0,same
1,10,3,yes,2,6,"HD -> HD
L: UHD -> HD",SRC02,UHD,HD,HD,HD,0,same
1,10,3,yes,3,6,"HD -> HD
L: UHD -> HD",SRC05,UHD,HD,HD,HD,0,same
1,10,3,yes,4,1,HD -> UHD,SRC04,HD,UHD,HD,UHD,0,same
1,10,3,yes,5,8,HD -> HD,SRC08,HD,HD,HD,HD,0,same
1,10,3,yes,6,2,UHD -> HD,SRC07,UHD,HD,UHD,HD,0,same
1,10,3,yes,7,8,HD -> HD,SRC06,HD,HD,HD,HD,0,same
1,10,3,yes,8,3,"UHD -> UHD
L: HD -> UHD",SRC03,HD,UHD,UHD,UHD,0,same
1,10,3,yes,9,4,"HD -> HD
L: HD -> UHD",SRC05,HD,UHD,HD,HD,0,same
1,10,3,yes,10,2,UHD -> HD,SRC08,UHD,HD,UHD,HD,0,same
1,10,3,yes,11,1,HD -> UHD,SRC07,HD,UHD,HD,UHD,0,same
1,10,3,yes,12,7,UHD -> UHD,SRC01,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,13,5,"UHD -> UHD
L: UHD -> HD",SRC02,UHD,HD,UHD,UHD,0,same
1,10,3,yes,14,8,HD -> HD,SRC04,HD,HD,HD,HD,0,same
1,10,3,yes,15,2,UHD -> HD,SRC03,UHD,HD,UHD,HD,0,same
1,10,3,yes,16,3,"UHD -> UHD
L: HD -> UHD",SRC06,HD,UHD,UHD,UHD,0,same
1,10,3,yes,17,1,HD -> UHD,SRC08,HD,UHD,HD,UHD,0,same
1,10,3,yes,18,8,HD -> HD,SRC01,HD,HD,HD,HD,0,same
1,10,3,yes,19,2,UHD -> HD,SRC04,UHD,HD,UHD,HD,0,same
1,10,3,yes,20,5,"UHD -> UHD
L: UHD -> HD",SRC07,UHD,HD,UHD,UHD,0,same
1,10,3,yes,21,8,HD -> HD,SRC05,HD,HD,HD,HD,0,same
1,10,3,yes,22,4,"HD -> HD
L: HD -> UHD",SRC02,HD,UHD,HD,HD,0,same
1,10,3,yes,23,5,"UHD -> UHD
L: UHD -> HD",SRC03,UHD,HD,UHD,UHD,0,same
1,10,3,yes,24,2,UHD -> HD,SRC06,UHD,HD,UHD,HD,0,same
1,10,3,yes,25,1,HD -> UHD,SRC01,HD,UHD,HD,UHD,0,same
1,10,3,yes,26,1,HD -> UHD,SRC02,HD,UHD,HD,UHD,0,same
1,10,3,yes,27,4,"HD -> HD
L: HD -> UHD",SRC03,HD,UHD,HD,HD,0,same
1,10,3,yes,28,3,"UHD -> UHD
L: HD -> UHD",SRC04,HD,UHD,UHD,UHD,0,same
1,10,3,yes,29,1,HD -> UHD,SRC05,HD,UHD,HD,UHD,0,same
1,10,3,yes,30,3,"UHD -> UHD
L: HD -> UHD",SRC08,HD,UHD,UHD,UHD,0,same
1,10,3,yes,31,8,HD -> HD,SRC07,HD,HD,HD,HD,0,same
1,10,3,yes,32,5,"UHD -> UHD
L: UHD -> HD",SRC06,UHD,HD,UHD,UHD,0,same
1,10,3,yes,33,2,UHD -> HD,SRC05,UHD,HD,UHD,HD,0,same
1,10,3,yes,34,6,"HD -> HD
L: UHD -> HD",SRC07,UHD,HD,HD,HD,0,same
1,10,3,yes,35,6,"HD -> HD
L: UHD -> HD",SRC08,UHD,HD,HD,HD,0,same
1,10,3,yes,36,3,"UHD -> UHD
L: HD -> UHD",SRC02,HD,UHD,UHD,UHD,0,same
1,10,3,yes,37,6,"HD -> HD
L: UHD -> HD",SRC04,UHD,HD,HD,HD,0,same
1,10,3,yes,38,6,"HD -> HD
L: UHD -> HD",SRC03,UHD,HD,HD,HD,0,same
1,10,3,yes,39,6,"HD -> HD
L: UHD -> HD",SRC06,UHD,HD,HD,HD,0,same
1,10,3,yes,40,5,"UHD -> UHD
L: UHD -> HD",SRC01,UHD,HD,UHD,UHD,0,same
1,10,3,yes,41,5,"UHD -> UHD
L: UHD -> HD",SRC04,UHD,HD,UHD,UHD,0,same
1,10,3,yes,42,7,UHD -> UHD,SRC07,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,43,7,UHD -> UHD,SRC06,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,44,3,"UHD -> UHD
L: HD -> UHD",SRC05,HD,UHD,UHD,UHD,0,same
